   
    ALG        ANA       PHY      MEC        DALG       DANA     DPHY      DMEC
   24.0000   25.0000   26.5000   24.0000    2.0000    2.0000    2.0000    2.0000
   19.0000   20.0000   25.5000   30.0000    1.0000    1.0000    2.0000    2.0000
   25.0000   28.5000   28.5000   22.0000    2.0000    2.0000    2.0000    2.0000
   20.0000   23.5000   26.5000   20.0000    2.0000    2.0000    2.0000    1.0000
   31.0000   30.5000   26.5000   27.0000    2.0000    2.0000    2.0000    2.0000
   20.0000   22.5000   27.0000   21.0000    2.0000    2.0000    2.0000    2.0000
   18.0000   18.0000   20.5000   18.0000    1.0000    1.0000    1.0000    1.0000
   18.0000   18.0000   20.5000   23.0000    1.0000    1.0000    1.0000    2.0000
   18.0000   20.5000   20.5000   26.0000    1.0000    2.0000    1.0000    2.0000
   24.0000   29.0000   26.0000   21.0000    2.0000    2.0000    2.0000    2.0000
   21.0000   20.5000   27.0000   23.0000    2.0000    2.0000    2.0000    2.0000
   23.0000   24.0000   25.0000   27.0000    2.0000    2.0000    2.0000    2.0000
   20.0000   22.5000   24.5000   24.0000    1.0000    2.0000    2.0000    2.0000
   25.0000   24.0000   29.0000   31.0000    2.0000    2.0000    2.0000    2.0000
   31.0000   25.0000   29.0000   28.0000    2.0000    2.0000    2.0000    2.0000
   30.0000   30.0000   29.5000   30.0000    2.0000    2.0000    2.0000    2.0000
   25.0000   26.5000   26.5000   28.0000    2.0000    2.0000    2.0000    2.0000
   19.0000   24.5000   24.0000   20.0000    1.0000    2.0000    2.0000    1.0000
   27.0000   24.5000   26.0000   24.0000    2.0000    2.0000    2.0000    2.0000
   25.0000   26.0000   27.5000   26.0000    2.0000    2.0000    2.0000    2.0000
   30.0000   27.5000   29.5000   30.0000    2.0000    2.0000    2.0000    2.0000
   24.0000   23.5000   24.5000   27.0000    2.0000    2.0000    2.0000    2.0000
   28.0000   22.0000   28.0000   24.0000    2.0000    2.0000    2.0000    2.0000
   24.0000   28.0000   29.5000   30.0000    2.0000    2.0000    2.0000    2.0000
   25.0000   22.5000   26.0000   23.0000    2.0000    2.0000    2.0000    2.0000
   28.0000   25.5000   27.0000   28.0000    2.0000    2.0000    2.0000    2.0000
   30.0000   27.5000   30.0000   30.0000    2.0000    2.0000    2.0000    2.0000
   27.0000   20.5000   25.5000   26.0000    2.0000    2.0000    2.0000    2.0000
   24.0000   23.0000   24.0000   19.0000    2.0000    2.0000    2.0000    1.0000
   20.0000   25.5000   23.0000   23.0000    2.0000    2.0000    1.0000    2.0000
   18.0000   26.0000   23.0000   31.0000    1.0000    2.0000    2.0000    2.0000
   27.0000   23.0000   24.0000   23.0000    2.0000    2.0000    2.0000    2.0000
   21.0000   22.5000   28.5000   22.0000    2.0000    2.0000    2.0000    2.0000
   31.0000   28.0000   27.0000   27.0000    2.0000    2.0000    2.0000    2.0000
   24.0000   23.5000   26.5000   23.0000    2.0000    2.0000    2.0000    2.0000
   25.0000   23.5000   24.0000   27.0000    2.0000    2.0000    2.0000    2.0000
   28.0000   28.5000   28.5000   28.0000    2.0000    2.0000    2.0000    2.0000
   23.0000   20.5000   24.5000   21.0000    2.0000    2.0000    2.0000    2.0000
   30.0000   26.0000   29.0000   26.0000    2.0000    2.0000    2.0000    2.0000
   31.0000   23.0000   28.0000   28.0000    2.0000    2.0000    2.0000    2.0000
   28.0000   24.5000   21.5000   22.0000    2.0000    2.0000    1.0000    2.0000

